,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,Boltz_affinity_pred_value,Boltz_affinity_pred_value1,Boltz_affinity_pred_value2,Boltz_affinity_probability_binary,Boltz_affinity_probability_binary1,Boltz_affinity_probability_binary2,Boltz_batch_variant,Boltz_chain_ptm_0,Boltz_chain_ptm_1,Boltz_complex_ipde,Boltz_complex_iplddt,Boltz_complex_pde,Boltz_complex_plddt,Boltz_confidence_score,Boltz_iptm,Boltz_ligand_iptm,Boltz_pair_chain_iptm_0-0,Boltz_pair_chain_iptm_0-1,Boltz_pair_chain_iptm_1-0,Boltz_pair_chain_iptm_1-1,Boltz_pair_chain_iptm_protein-ligand,Boltz_protein_iptm,Boltz_ptm,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,norm_Boltz_affinity_pred_value,raw_Boltz_affinity_probability_binary,raw_desc_QED,amean,filter,passes_diversity_filter,filtered_amean,score_time,diversity_filter,diversity_filter_params
164,JNK3_actives,JNK3_test,1,164,13.604583501815796,CCc1ccc(C(=O)Nc2cccc(C)c2N2CCC3(CC2)OCCO3)o1,true,1,true,0,0.8381131291389465,-0.029428327456116676,1.7056546211242676,0.5899180769920349,0.6575301885604858,0.522305965423584,1_164-0,0.9492441415786743,0.9703978300094604,0.5392367839813232,0.8662356734275818,0.47531306743621826,0.84904944896698,0.8770136833190918,0.9888704419136047,0.9888704419136047,0.9492441415786743,0.7824090123176575,0.9888704419136047,0.9703978300094604,0.7824090123176575,0.0,0.9509989619255066,0.8880733514590218,0.0,3.7460200000000023,370.44900000000024,27,344.2410000000001,5,1,6,4,2,2,4,63.94000000000001,0.0,0,C21H26N2O4,813.3391421237475,1,0,0.20771188486651562,0.5899180769920349,0.8880733514590218,0.5619011044391907,1.0,False,0.4944729719064878,41834.20834541321,ScaffoldSimilarityECFP,
165,JNK3_actives,JNK3_test,1,165,13.604583501815796,CC#Cc1ccc(C(=O)Nc2cccc(C)c2N2CCC3(CC2)OCCO3)o1,true,1,true,0,0.9043127298355103,0.38059163093566895,1.4280338287353516,0.49707329273223877,0.5548669099807739,0.4392796456813812,1_165-0,0.9607638120651245,0.9869810342788696,0.43469035625457764,0.8497312664985657,0.40949466824531555,0.8402518033981323,0.8708289265632629,0.9931371808052063,0.9931371808052063,0.9607638120651245,0.8707378506660461,0.9931371808052063,0.9869810342788696,0.8707378506660461,0.0,0.9621244072914124,0.8252644726133763,0.0,3.5550200000000025,380.44400000000024,28,356.2520000000001,5,1,6,3,2,2,4,63.94000000000001,0.0,0,C22H24N2O4,921.4987778739527,1,0,0.1917323055558513,0.49707329273223877,0.8252644726133763,0.5046900236338221,1.0,False,0.434033420325087,41834.20834541321,ScaffoldSimilarityECFP,
166,JNK3_actives,JNK3_test,1,166,13.604583501815796,COc1ccc(C(=O)Nc2cccc(C)c2N2CCC3(CC2)OCCO3)o1,true,1,true,0,0.7190366387367249,0.39128270745277405,1.046790599822998,0.3615998923778534,0.4665282964706421,0.2566714882850647,1_166-0,0.9437062740325928,0.9818278551101685,0.575566291809082,0.877948522567749,0.5334217548370361,0.8377292156219482,0.8679963946342468,0.9890651106834412,0.9890651106834412,0.9437062740325928,0.8319866061210632,0.9890651106834412,0.9818278551101685,0.8319866061210632,0.0,0.945763349533081,0.8885865036846274,0.0,3.1922200000000016,372.4210000000003,27,348.2290000000001,6,1,7,4,2,2,4,73.17,0.0,0,C20H24N2O5,815.5296056299173,1,0,0.23645514317013605,0.3615998923778534,0.8885865036846274,0.49554717974420565,1.0,True,0.49554717974420565,41834.20834541321,ScaffoldSimilarityECFP,
167,JNK3_actives,JNK3_test,1,167,13.604583501815796,CCCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,true,1,true,0,0.5951617956161499,0.3626265525817871,0.8276969790458679,0.34171587228775024,0.47645729780197144,0.20697444677352905,1_167-0,0.9526568651199341,0.9867006540298462,0.51424241065979,0.8374952077865601,0.48158401250839233,0.8339105248451233,0.8655669093132019,0.9921924471855164,0.9921924471855164,0.9526568651199341,0.8579802513122559,0.9921924471855164,0.9867006540298462,0.8579802513122559,0.0,0.954367995262146,0.7656536253850698,0.0,4.479800000000004,426.7420000000002,25,405.57400000000007,4,1,7,5,2,1,3,48.72,0.0,0,C18H21BrClN3O2,741.6724502722988,2,0,0.26635665102536515,0.34171587228775024,0.7656536253850698,0.4579087162327284,1.0,True,0.4579087162327284,41834.20834541321,ScaffoldSimilarityECFP,
168,JNK3_actives,JNK3_test,1,168,13.604583501815796,C=CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,true,1,true,0,0.3539120554924011,0.7482638359069824,-0.040439728647470474,0.4024646282196045,0.4628256857395172,0.34210360050201416,1_168-0,0.9505287408828735,0.9831449389457703,0.5367141962051392,0.8772539496421814,0.4990311563014984,0.8501384854316711,0.8783499002456665,0.9911956191062927,0.9911956191062927,0.9505287408828735,0.8386831879615784,0.9911956191062927,0.9831449389457703,0.8386831879615784,0.0,0.9521799087524414,0.7288657174136046,0.0,4.255800000000003,424.72600000000017,25,405.57400000000007,4,1,7,5,2,1,3,48.72,0.0,0,C18H19BrClN3O2,769.4317126086887,2,0,0.32459067835212985,0.4024646282196045,0.7288657174136046,0.485307007995113,1.0,True,0.485307007995113,41834.20834541321,ScaffoldSimilarityECFP,
169,JNK3_actives,JNK3_test,1,169,13.604583501815796,C=C(C)CN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,true,1,true,0,0.33312833309173584,-0.03257092460989952,0.6988275647163391,0.3055022358894348,0.311797559261322,0.29920694231987,1_169-0,0.9344801902770996,0.9826022982597351,0.6274303793907166,0.8521844148635864,0.6038114428520203,0.8394477963447571,0.8694182634353638,0.989300012588501,0.989300012588501,0.9344801902770996,0.8309838771820068,0.989300012588501,0.9826022982597351,0.8309838771820068,0.0,0.9369122982025146,0.6906527300024476,0.0,4.645900000000005,438.7530000000002,26,417.58500000000015,4,1,7,5,2,1,3,48.72,0.0,0,C19H21BrClN3O2,812.8656094465297,2,0,0.32960755363502714,0.3055022358894348,0.6906527300024476,0.4419208398423032,1.0,True,0.4419208398423032,41834.20834541321,ScaffoldSimilarityECFP,
170,JNK3_actives,JNK3_test,1,170,13.604583501815796,O=C(Nc1cccc(Cl)c1N1CCN(C2CC2)CC1)c1ccc(Br)o1,true,1,true,0,0.8225805759429932,0.7565807104110718,0.8885805010795593,0.33334046602249146,0.4022754728794098,0.2644054889678955,1_170-0,0.948570728302002,0.983155369758606,0.5492522120475769,0.8483771085739136,0.503968358039856,0.836615264415741,0.8673520088195801,0.9902989864349365,0.9902989864349365,0.948570728302002,0.8307144641876221,0.9902989864349365,0.983155369758606,0.8307144641876221,0.0,0.9504073858261108,0.7977101302224257,0.0,4.232200000000004,424.72600000000006,25,405.57400000000007,4,1,7,4,2,2,4,48.720000000000006,0.0,0,C18H19BrClN3O2,782.3784088324568,1,0,0.2114612075675623,0.33334046602249146,0.7977101302224257,0.4475039346041598,1.0,True,0.4475039346041598,41834.20834541321,ScaffoldSimilarityECFP,
171,JNK3_actives,JNK3_test,1,171,13.604583501815796,O=C(Nc1cccc(Cl)c1N1CCN(Cc2ccco2)CC1)c1ccc(Br)o1,true,1,true,0,-0.04882583022117615,-0.09772764146327972,7.597729563713074e-05,0.4689096510410309,0.5706915259361267,0.36712777614593506,1_171-0,0.9185516238212585,0.9776286482810974,0.7125730514526367,0.8642740845680237,0.6967813968658447,0.8404009938240051,0.869886040687561,0.9878261685371399,0.9878261685371399,0.9185516238212585,0.8039638996124268,0.9878261685371399,0.9776286482810974,0.8039638996124268,0.0,0.921981692314148,0.5839915496706943,0.0,4.863000000000004,464.7470000000001,28,445.59500000000014,5,1,8,5,3,1,4,61.86000000000001,0.0,0,C20H19BrClN3O3,949.5239469888186,2,0,0.4218054941282533,0.4689096510410309,0.5839915496706943,0.49156889827999284,1.0,True,0.49156889827999284,41834.20834541321,ScaffoldSimilarityECFP,
172,JNK3_actives,JNK3_test,1,172,13.604583501815796,O=C(Nc1cccc(Cl)c1N1CCN(c2ccccn2)CC1)c1ccc(Br)o1,true,1,true,0,0.5992441773414612,0.5935329794883728,0.6049553751945496,0.3497311472892761,0.3931693732738495,0.30629289150238037,1_172-0,0.9685600399971008,0.9827338457107544,0.5089113712310791,0.8579081892967224,0.3862297534942627,0.836854100227356,0.8676176071166992,0.9906717538833618,0.9906717538833618,0.9685600399971008,0.8626198768615723,0.9906717538833618,0.9827338457107544,0.8626198768615723,0.0,0.9693841934204102,0.6117047989958829,0.0,4.669400000000003,461.7470000000001,28,443.6030000000001,5,1,8,4,3,1,4,61.61000000000001,0.0,0,C20H18BrClN4O2,971.3468514489349,1,0,0.265371226009661,0.3497311472892761,0.6117047989958829,0.40893572409827333,1.0,True,0.40893572409827333,41834.20834541321,ScaffoldSimilarityECFP,
173,JNK3_actives,JNK3_test,1,173,13.604583501815796,CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,true,1,true,0,0.917083740234375,0.9750525951385498,0.8591148257255554,0.3859260678291321,0.46249920129776,0.30935290455818176,1_173-0,0.9616321921348572,0.9862796664237976,0.4437832534313202,0.8558200001716614,0.3949836790561676,0.8542095422744751,0.8817629218101501,0.9919760823249817,0.9919760823249817,0.9616321921348572,0.8471559286117554,0.9919760823249817,0.9862796664237976,0.8471559286117554,0.0,0.9627435207366943,0.814025511043843,0.0,3.6163000000000025,426.6980000000002,25,409.56200000000007,4,1,8,3,2,1,3,65.79,0.0,0,C17H17BrClN3O3,800.1858019491344,1,0,0.18864957739135088,0.3859260678291321,0.814025511043843,0.46286705208810863,1.0,True,0.46286705208810863,41834.20834541321,ScaffoldSimilarityECFP,
