id,pchembl_value,canonical_smiles,target_organism,source
CHEMBL1236682,7.44,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,Homo sapiens,chembl
CHEMBL1287853,6.7,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,Homo sapiens,chembl
CHEMBL1287858,5.77,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12,Homo sapiens,chembl
CHEMBL1287859,6.05,COC(=O)c1cscc1NC(=O)Cc1cccc2ccccc12,Homo sapiens,chembl
CHEMBL1287886,5.27,COC(=O)c1n[nH]cc1NC(=O)Cc1cccc2ccccc12,Homo sapiens,chembl
CHEMBL1287887,5.19,COC(=O)c1cnccc1NC(=O)Cc1cccc2ccccc12,Homo sapiens,chembl
CHEMBL1287888,5.28,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nnco1,Homo sapiens,chembl
CHEMBL1287914,5.05,O=C(Cc1cccc2ccccc12)Nc1ccsc1-n1ccnc1,Homo sapiens,chembl
CHEMBL1287915,5.44,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1cc[nH]n1,Homo sapiens,chembl
CHEMBL1287916,6.04,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nc[nH]n1,Homo sapiens,chembl
CHEMBL1287944,5.68,Cc1nnc(-c2sccc2NC(=O)Cc2cccc3ccccc23)o1,Homo sapiens,chembl
CHEMBL1287945,4.37,Cn1ccc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n1,Homo sapiens,chembl
CHEMBL1287974,6.26,Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,Homo sapiens,chembl
CHEMBL1287975,4.5,Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n(C)n1,Homo sapiens,chembl
CHEMBL1288004,5.03,Cc1cc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1,Homo sapiens,chembl
CHEMBL1288005,4.34,COc1ccc(CC(=O)Nc2ccsc2-n2cncn2)cc1,Homo sapiens,chembl
CHEMBL1288006,5.82,COc1ccc(CC(=O)Nc2ccsc2-n2nccn2)cc1,Homo sapiens,chembl
CHEMBL1288037,4.43,COc1ccc(CC(=O)Nc2ccsc2N2CCOC2=O)cc1,Homo sapiens,chembl
CHEMBL1288038,5.23,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(C(F)(F)F)n2)cc1,Homo sapiens,chembl
CHEMBL1288039,5.8,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(N)n2)cc1,Homo sapiens,chembl
CHEMBL1288067,4.51,COc1ccc(CC(=O)Nc2ccsc2-c2cn(C)cn2)cc1,Homo sapiens,chembl
CHEMBL1288068,6.1,COc1ccc(CC(=O)Nc2ccsc2-c2ncco2)cc1,Homo sapiens,chembl
CHEMBL1288069,4.57,COc1ccc(CC(=O)Nc2ccsc2-c2c[nH]c(C)n2)cc1,Homo sapiens,chembl
CHEMBL1288098,5.82,COc1ccc(CC(=O)Nc2ccsc2-c2cnccn2)cc1,Homo sapiens,chembl
CHEMBL1288099,6.25,O=C(Cc1cccc2ncccc12)Nc1ccsc1-c1nnc[nH]1,Homo sapiens,chembl
CHEMBL1288100,6.8,O=C(Cc1cccc2cnccc12)Nc1ccsc1-c1cscn1,Homo sapiens,chembl
CHEMBL1288127,5.8,COC(=O)c1ncsc1NC(=O)Cc1cccc2cnccc12,Homo sapiens,chembl
CHEMBL1288128,6.09,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1nc[nH]n1,Homo sapiens,chembl
