,model,task,step,absolute_time,batch_idx,mol_id,valid,valid_score,smiles,unique,occurrences,Boltz_affinity_pred_value,Boltz_affinity_pred_value1,Boltz_affinity_pred_value2,Boltz_affinity_probability_binary,Boltz_affinity_probability_binary1,Boltz_affinity_probability_binary2,Boltz_batch_variant,Boltz_chain_ptm_0,Boltz_chain_ptm_1,Boltz_chain_ptm_2,Boltz_complex_ipde,Boltz_complex_iplddt,Boltz_complex_pde,Boltz_complex_plddt,Boltz_confidence_score,Boltz_iptm,Boltz_ligand_iptm,Boltz_pair_chain_iptm_0-0,Boltz_pair_chain_iptm_0-1,Boltz_pair_chain_iptm_0-2,Boltz_pair_chain_iptm_1-0,Boltz_pair_chain_iptm_1-1,Boltz_pair_chain_iptm_1-2,Boltz_pair_chain_iptm_2-0,Boltz_pair_chain_iptm_2-1,Boltz_pair_chain_iptm_2-2,Boltz_pair_chain_iptm_protein-ligand,Boltz_protein_iptm,Boltz_ptm,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,norm_Boltz_affinity_pred_value,raw_Boltz_affinity_probability_binary,raw_desc_QED,amean,filter,Score,passes_diversity_filter,filtered_amean,Score (reshaped),score_time,diversity_filter,diversity_filter_params
0,JNK3_actives,JNK3_nATPc,1,22.054579973220825,0,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,True,1,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,True,0,0.9859906435012817,0.8947644829750061,1.0772167444229126,0.4153938293457031,0.38252681493759155,0.4482608735561371,1_0-0,0.8929014205932617,0.948714554309845,0.9027001857757568,1.2191497087478638,0.8514559864997864,0.9052702188491821,0.8309323787689209,0.8579438328742981,0.9659894108772278,0.9659894108772278,0.8929014205932617,0.7385272979736328,0.47915953397750854,0.9758667945861816,0.948714554309845,0.5059747099876404,0.9719821810722351,0.7536913752555847,0.9027001857757568,0.47915953397750854,0.0,0.9003028273582458,0.5251964041458315,3.2091994469585643,4.6822000000000035,377.444,27,361.3160000000001,3,1,6,4,4,0,4,64.63,1.4730005530414392,0,C21H16FN3OS,1045.2491145465863,1,1,0.28005531542179335,0.4153938293457031,0.5251964041458315,0.40688184963777596,1.0,0.40688184963777596,True,0.40688184963777596,0.40688184963777596,10972.37086725235,ScaffoldSimilarityECFP,
1,JNK3_actives,JNK3_nATPc,1,22.054579973220825,1,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,True,1,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,True,0,0.021362416446208954,-0.001361362636089325,0.04408619552850723,0.8018596172332764,0.806040346622467,0.7976788878440857,1_1-0,0.9157844185829163,0.9040043354034424,0.938366711139679,1.2202982902526855,0.783556342124939,0.7596842646598816,0.820814311504364,0.8457140922546387,0.945313036441803,0.945313036441803,0.9157844185829163,0.583620548248291,0.7004565000534058,0.8981567621231079,0.9040043354034424,0.7042344808578491,0.989583432674408,0.7173966765403748,0.938366711139679,0.7004565000534058,0.0,0.9196698069572449,0.30878428664193475,2.511113528752615,5.986420000000005,527.6690000000006,39,490.3730000000004,6,2,8,7,4,1,5,80.65,3.4753064712473902,0,C31H37N5O3,1433.1343290809896,4,0,0.47677762317704797,0.8018596172332764,0.30878428664193475,0.5291405090174197,1.0,0.5291405090174197,False,0.5185576988370713,0.5185576988370713,10972.37086725235,ScaffoldSimilarityECFP,
2,JNK3_actives,JNK3_nATPc,1,22.054579973220825,2,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1F)=NCC2,True,1,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1F)=NCC2,True,0,1.149322748184204,0.6145285367965698,1.6841169595718384,0.31478655338287354,0.24934980273246765,0.3802233338356018,1_2-0,0.8233402967453003,0.9424037337303162,0.9630578756332397,1.7351197004318237,0.7859663963317871,1.30135977268219,0.787742555141449,0.8196070790290833,0.9470652341842651,0.9470652341842651,0.8233402967453003,0.6737616062164307,0.4969714283943176,0.9702023863792419,0.9424037337303162,0.5579227805137634,0.9398458003997803,0.6958138346672058,0.9630578756332397,0.4969714283943176,0.0,0.8350009918212891,0.7949526531782497,2.481339317954985,4.534600000000002,324.1820000000001,21,312.086,2,0,5,2,2,1,3,21.59,2.0532606820450168,0,C16H12Cl2FNO,743.2971022910871,1,1,0.24674603868432868,0.31478655338287354,0.7949526531782497,0.45216174841515067,1.0,0.45216174841515067,True,0.45216174841515067,0.45216174841515067,10972.37086725235,ScaffoldSimilarityECFP,
3,JNK3_actives,JNK3_nATPc,1,22.054579973220825,3,c1ccc(-c2noc(CN3CCCCC3)c2-c2ccnc(NC3CCCCC3)n2)cc1,True,1,c1ccc(-c2noc(CN3CCCCC3)c2-c2ccnc(NC3CCCCC3)n2)cc1,True,0,1.1259665489196777,0.8713531494140625,1.380579948425293,0.3635790944099426,0.14008750021457672,0.5870707035064697,1_3-0,0.9416523575782776,0.9132276773452759,0.9608011245727539,1.7083611488342285,0.7430621385574341,0.7149529457092285,0.8112589716911316,0.8367722630500793,0.9388251900672913,0.9388251900672913,0.9416523575782776,0.5669039487838745,0.8371718525886536,0.8935067653656006,0.9132276773452759,0.7926579117774963,0.9921780824661255,0.6211303472518921,0.9608011245727539,0.8371718525886536,0.0,0.9401744604110718,0.5687912343022735,2.5288893115428444,5.529100000000004,417.5570000000002,31,386.30900000000014,6,1,6,6,3,2,5,67.08000000000001,3.0002106884571598,0,C25H31N5O,974.5872483805289,2,0,0.251509205768643,0.3635790944099426,0.5687912343022735,0.3946265114936197,1.0,0.3946265114936197,True,0.3946265114936197,0.3946265114936197,10972.37086725235,ScaffoldSimilarityECFP,
4,JNK3_actives,JNK3_nATPc,1,22.054579973220825,4,COc1cc2c(cc1Cl)C(c1cccc(Br)c1)=NCC2,True,1,COc1cc2c(cc1Cl)C(c1cccc(Br)c1)=NCC2,True,0,1.7761292457580566,1.5603760480880737,1.991882562637329,0.3532728850841522,0.3733214735984802,0.3332242965698242,1_4-0,0.9033637046813965,0.9539631605148315,0.9539379477500916,1.6024593114852905,0.7854567766189575,0.9097000360488892,0.8162715435028076,0.8406581282615662,0.9382041096687317,0.9382041096687317,0.9033637046813965,0.7421574592590332,0.4002492427825928,0.9791620969772339,0.9539631605148315,0.41347265243530273,0.8987036943435669,0.6928324103355408,0.9539379477500916,0.4002492427825928,0.0,0.906640350818634,0.7809700768429827,2.3321352285898183,4.504600000000003,350.6430000000001,20,337.53900000000004,2,0,4,2,2,1,3,21.59,2.1724647714101843,0,C16H13BrClNO,696.8713823028047,1,0,0.11891770310351966,0.3532728850841522,0.7809700768429827,0.4177202216768849,1.0,0.4177202216768849,True,0.4177202216768849,0.4177202216768849,10972.37086725235,ScaffoldSimilarityECFP,
5,JNK3_actives,JNK3_nATPc,1,22.054579973220825,5,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,True,1,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,True,0,0.8360982537269592,1.4646663665771484,0.2075301706790924,0.39774709939956665,0.7006497979164124,0.09484443068504333,1_5-0,0.8902744054794312,0.898534893989563,0.9483343958854675,3.5527637004852295,0.730742871761322,1.2121827602386475,0.8049319386482239,0.8212041854858398,0.8862929940223694,0.8862929940223694,0.8902744054794312,0.4723774492740631,0.6638732552528381,0.8309648633003235,0.898534893989563,0.6877508759498596,0.9386847615242004,0.5760967135429382,0.9483343958854675,0.6638732552528381,0.0,0.8891729712486267,0.4449652129709726,2.912165450576797,3.1365000000000007,507.49800000000016,35,487.33800000000014,8,3,14,7,3,1,4,129.21,0.22433454942320363,0,C21H20F3N7O3S,1397.1509398889,3,3,0.31062375205294673,0.39774709939956665,0.4449652129709726,0.38444535480782865,1.0,0.38444535480782865,True,0.38444535480782865,0.38444535480782865,10972.37086725235,ScaffoldSimilarityECFP,
6,JNK3_actives,JNK3_nATPc,1,22.054579973220825,6,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,True,1,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,True,0,1.151036262512207,0.9742764234542847,1.3277961015701294,0.4055452346801758,0.33313626050949097,0.4779541790485382,1_6-0,0.8995508551597595,0.9541114568710327,0.9567207098007202,1.2311382293701172,0.8231627941131592,0.8235471844673157,0.8096423745155334,0.8388866782188416,0.9558636546134949,0.9558636546134949,0.8995508551597595,0.7425988912582397,0.5184164047241211,0.9792488813400269,0.9541114568710327,0.548295795917511,0.9475712776184082,0.7287996411323547,0.9567207098007202,0.5184164047241211,0.0,0.9042471051216125,0.7494747608748556,2.3318665669771494,5.048900000000002,340.6370000000001,21,328.54100000000005,2,0,5,2,2,1,3,21.59,2.717033433022853,0,C16H12Cl3NO,740.5422147889236,1,0,0.24639659162947156,0.4055452346801758,0.7494747608748556,0.4671388623948343,1.0,0.4671388623948343,True,0.4671388623948343,0.4671388623948343,10972.37086725235,ScaffoldSimilarityECFP,
7,JNK3_actives,JNK3_nATPc,1,22.054579973220825,7,COc1cc2c(cc1Cl)C(c1ccc3ccccc3c1)=NCC2,True,1,COc1cc2c(cc1Cl)C(c1ccc3ccccc3c1)=NCC2,True,0,1.3269290924072266,1.1279798746109009,1.5258781909942627,0.38809794187545776,0.3635837733745575,0.41261208057403564,1_7-0,0.8467009663581848,0.9359495639801025,0.9546311497688293,2.231801748275757,0.8272652626037598,1.2773810625076294,0.8297650218009949,0.8468788266181946,0.9153339862823486,0.9153339862823486,0.8467009663581848,0.6934373378753662,0.4112549424171448,0.972409725189209,0.9359495639801025,0.45073071122169495,0.8799920678138733,0.6443821787834167,0.9546311497688293,0.4112549424171448,0.0,0.8532743453979492,0.6578726067884744,2.2271214032838227,4.895300000000004,321.80700000000013,23,305.67900000000003,2,0,3,2,3,1,4,21.59,2.6681785967161815,0,C20H16ClNO,930.073033552153,1,0,0.2105257323242367,0.38809794187545776,0.6578726067884744,0.41883209366272295,1.0,0.41883209366272295,True,0.41883209366272295,0.41883209366272295,10972.37086725235,ScaffoldSimilarityECFP,
8,JNK3_actives,JNK3_nATPc,1,22.054579973220825,8,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,True,1,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,True,0,2.0655670166015625,1.976110816001892,2.1550230979919434,0.2821296453475952,0.20856274664402008,0.35569655895233154,1_8-0,0.9280058741569519,0.9447423219680786,0.9662851691246033,1.17084538936615,0.8021332025527954,0.7059733271598816,0.8199113607406616,0.8479153513908386,0.9599315524101257,0.9599315524101257,0.9280058741569519,0.7634470462799072,0.5628703236579895,0.977772057056427,0.9447423219680786,0.5886556506156921,0.9551027417182922,0.7351535558700562,0.9662851691246033,0.5628703236579895,0.0,0.9311798214912415,0.8058313963035493,2.268834014014919,4.395500000000002,306.19200000000006,20,293.088,2,0,4,2,2,1,3,21.59,2.126665985985083,0,C16H13Cl2NO,694.8713823028047,1,0,0.05989095618185795,0.2821296453475952,0.8058313963035493,0.38261733261100084,1.0,0.38261733261100084,True,0.38261733261100084,0.38261733261100084,10972.37086725235,ScaffoldSimilarityECFP,
9,JNK3_actives,JNK3_nATPc,1,22.054579973220825,9,O[C@H]1CC[C@H](Nc2nccc(-c3c[nH]nc3C3CCCOC3)n2)CC1,True,1,O[C@H]1CC[C@H](Nc2nccc(-c3c[nH]nc3C3CCCOC3)n2)CC1,True,0,-0.5047586560249329,-0.43046605587005615,-0.5790512561798096,0.7027007341384888,0.6676266193389893,0.7377747893333435,1_9-0,0.8840243220329285,0.9066420197486877,0.9818466901779175,2.487556219100952,0.6797547936439514,1.059502363204956,0.779389500617981,0.8089197278022766,0.9270403385162354,0.9270403385162354,0.8840243220329285,0.489650696516037,0.7587021589279175,0.87704998254776,0.9066420197486877,0.7730741500854492,0.990601122379303,0.6070005893707275,0.9818466901779175,0.7587021589279175,0.0,0.8879687786102295,0.7891587821128019,3.483020627262322,2.4761000000000006,343.4310000000002,25,318.23100000000005,6,3,7,4,2,2,4,95.95,-1.0069206272623212,0,C18H25N5O2,690.2798011610513,2,0,0.5840725878404484,0.7027007341384888,0.7891587821128019,0.6919773680305796,1.0,0.6919773680305796,False,0.678137820669968,0.678137820669968,10972.37086725235,ScaffoldSimilarityECFP,
